bb;0
bb47.bb60_crit_edge;47_60.ce
bb50.bb60_crit_edge;50_60.ce
bb60.bb66_crit_edge;60_66.ce
bb63.bb77_crit_edge;63_77.ce
bb63.bb66_crit_edge;63_66.ce
bb77.bb95_crit_edge;77_95.ce
bb80.bb95_crit_edge;80_95.ce
bb83.bb95_crit_edge;83_95.ce
bb87.bb94_crit_edge;87_94.ce
bb95.bb105_crit_edge;95_105.ce
bb97.bb104_crit_edge;97_104.ce
bb105.bb122_crit_edge;105_122.ce
bb108.bb122_crit_edge;108_122.ce
bb122.bb138_crit_edge;122_138.ce
bb125.bb138_crit_edge;125_138.ce
bb128;128
bb128.bb138_crit_edge;128_138.ce
bb138.bb142_crit_edge;138_142.ce
bb164.bb174_crit_edge;164_174.ce
bb175;175
bb180.bb190_crit_edge;180_190.ce
bb193.bb203_crit_edge;193_203.ce
bb205;205
bb206;206
bb206.bb214_crit_edge;206_214.ce
bb217.bb229_crit_edge;217_229.ce
bb220.bb228_crit_edge;220_228.ce
bb229;229
bb230;230
bb230.bb238_crit_edge;230_238.ce
bb241;241
bb241.bb247_crit_edge;241_247.ce
bb247;247
bb248;248
bb259;259
bb.bb3_crit_edge;0_3.ce
bb.bb6_crit_edge;0_6.ce
bb2.bb6_crit_edge;2_6.ce
bb6.bb11_crit_edge;6_11.ce
bb11.bb26_crit_edge;11_26.ce
bb14.bb26_crit_edge;14_26.ce
bb18.bb25_crit_edge;18_25.ce
bb26.bb39_crit_edge;26_39.ce
bb29.bb39_crit_edge;29_39.ce
bb39.bb53_crit_edge;39_53.ce
bb53.bb70_crit_edge1;53_70.crit_edge1
bb53.bb70_crit_edge;53_70.ce
bb82.bb90_crit_edge;82_90.ce
bb90.bb100_crit_edge;90_100.ce
