Benchmark Name;Function Name;Execution;Number of vertices;Number of edges;Min count;Max count;Hottest blocks;Random hottest guess;Random hit;Nested hottest guess;Nested hit;Predictor guess;Predictor hit;Profile guess;Profile hit;Benchmark link
automotive_qsort1;compare;2;3;4;0;155199123;"0;11";0;1;0;1;11;1;0;1;https://github.com/lac-dcc/hydra/blob/main/Benchmark/cBench/automotive_qsort1
automotive_qsort1;compare;3;3;4;0;164326293;"0;11";0;1;0;1;11;1;0;1;https://github.com/lac-dcc/hydra/blob/main/Benchmark/cBench/automotive_qsort1
automotive_qsort1;compare;4;3;4;0;149454221;"0;11";0;1;0;1;11;1;0;1;https://github.com/lac-dcc/hydra/blob/main/Benchmark/cBench/automotive_qsort1
automotive_qsort1;compare;5;3;4;0;154125750;"0;11";0;1;0;1;11;1;0;1;https://github.com/lac-dcc/hydra/blob/main/Benchmark/cBench/automotive_qsort1
automotive_qsort1;compare;6;3;4;0;141727300;"0;11";0;1;0;1;11;1;0;1;https://github.com/lac-dcc/hydra/blob/main/Benchmark/cBench/automotive_qsort1
automotive_qsort1;compare;7;3;4;0;167020750;"0;11";0;1;0;1;11;1;0;1;https://github.com/lac-dcc/hydra/blob/main/Benchmark/cBench/automotive_qsort1
automotive_qsort1;compare;8;3;4;0;157701185;"0;11";0;1;0;1;11;1;0;1;https://github.com/lac-dcc/hydra/blob/main/Benchmark/cBench/automotive_qsort1
automotive_qsort1;compare;9;3;4;0;157033216;"0;11";0;1;0;1;11;1;0;1;https://github.com/lac-dcc/hydra/blob/main/Benchmark/cBench/automotive_qsort1
automotive_qsort1;compare;10;3;4;0;167450346;"0;11";0;1;0;1;11;1;0;1;https://github.com/lac-dcc/hydra/blob/main/Benchmark/cBench/automotive_qsort1
automotive_qsort1;compare;11;3;4;0;148730890;"0;11";0;1;0;1;11;1;0;1;https://github.com/lac-dcc/hydra/blob/main/Benchmark/cBench/automotive_qsort1
automotive_qsort1;compare;12;3;4;0;158950962;"0;11";0;1;0;1;11;1;0;1;https://github.com/lac-dcc/hydra/blob/main/Benchmark/cBench/automotive_qsort1
automotive_qsort1;compare;13;3;4;0;148939236;"0;11";0;1;0;1;11;1;0;1;https://github.com/lac-dcc/hydra/blob/main/Benchmark/cBench/automotive_qsort1
automotive_qsort1;compare;14;3;4;0;152585111;"0;11";0;1;0;1;11;1;0;1;https://github.com/lac-dcc/hydra/blob/main/Benchmark/cBench/automotive_qsort1
automotive_qsort1;compare;15;3;4;0;142404360;"0;11";0;1;0;1;11;1;0;1;https://github.com/lac-dcc/hydra/blob/main/Benchmark/cBench/automotive_qsort1
automotive_qsort1;compare;16;3;4;0;134646600;"0;11";0;1;0;1;11;1;0;1;https://github.com/lac-dcc/hydra/blob/main/Benchmark/cBench/automotive_qsort1
automotive_qsort1;compare;17;3;4;0;147924972;"0;11";0;1;0;1;11;1;0;1;https://github.com/lac-dcc/hydra/blob/main/Benchmark/cBench/automotive_qsort1
automotive_qsort1;compare;18;3;4;0;160602484;"0;11";0;1;0;1;11;1;0;1;https://github.com/lac-dcc/hydra/blob/main/Benchmark/cBench/automotive_qsort1
